Date,Junctions Cut,NORTHERN,CENTRAL,NEW ZEALAND,SOUTH AUSTRALIA,SOUTHERN,WESTERN
22/11/2010,37.37653846,4,23.37653846,0,0,10,0
23/11/2010,40.27776923,2,16.27776923,0,0,16,6
24/11/2010,44.32715385,0,10.32715385,0,0,26,8
25/11/2010,26,2,0,0,0,12,12
26/11/2010,36.85184615,6,8.851846154,0,0,14,8
27/11/2010,3,0,0,0,0,0,3
28/11/2010,0,0,0,0,0,0,0
29/11/2010,28.42592308,0,4.425923077,0,0,14,10
30/11/2010,27,1,0,1,0,14,11
1/12/2010,31,10,0,3,0,11,7
2/12/2010,31,3,7,4,0,5,12
3/12/2010,36,4,0,2,0,22,8
4/12/2010,4,0,0,0,0,4,0
5/12/2010,0,0,0,0,0,0,0
6/12/2010,41.89906667,0,16.89906667,0,0,17,8
7/12/2010,44.30028331,1,10.30028331,0,0,25,8
8/12/2010,54.61516122,10,32.61516122,0,0,4,8
9/12/2010,40.37895804,0,8.378958044,0,0,22,10
10/12/2010,46.59626667,6,31.59626667,0,0,9,0
11/12/2010,1,1,0,0,0,0,0
12/12/2010,0,0,0,0,0,0,0
13/12/2010,16.26604444,7,5.266044444,1,0,3,0
14/12/2010,58.34481682,6,39.34481682,0,0,13,0
15/12/2010,22.63302222,4,3.633022222,0,0,15,0
16/12/2010,36.79813333,11,16.79813333,3,0,6,0
17/12/2010,41.90123077,7,8.901230769,2,0,24,0
18/12/2010,5,3,0,0,0,2,0
19/12/2010,3,0,0,0,0,3,0
20/12/2010,37.43115556,3,18.43115556,0,0,16,0
21/12/2010,8.585972029,0,5.585972029,0,0,3,0
22/12/2010,3,0,0,0,0,3,0
23/12/2010,0,0,0,0,0,0,0
24/12/2010,0,0,0,0,0,0,0
25/12/2010,0,0,0,0,0,0,0
26/12/2010,0,0,0,0,0,0,0
27/12/2010,0,0,0,0,0,0,0
28/12/2010,0,0,0,0,0,0,0
29/12/2010,0,0,0,0,0,0,0
30/12/2010,0,0,0,0,0,0,0
31/12/2010,0,0,0,0,0,0,0
1/01/2011,0,0,0,0,0,0,0
2/01/2011,0,0,0,0,0,0,0
3/01/2011,0,0,0,0,0,0,0
4/01/2011,0,0,0,0,0,0,0
5/01/2011,0,0,0,0,0,0,0
6/01/2011,0,0,0,0,0,0,0
7/01/2011,0,0,0,0,0,0,0
8/01/2011,0,0,0,0,0,0,0
9/01/2011,0,0,0,0,0,0,0
10/01/2011,0,0,0,0,0,0,0
11/01/2011,0,0,0,0,0,0,0
12/01/2011,0,0,0,0,0,0,0
13/01/2011,0,0,0,0,0,0,0
14/01/2011,0,0,0,0,0,0,0
15/01/2011,0,0,0,0,0,0,0
16/01/2011,0,0,0,0,0,0,0
17/01/2011,8,0,0,0,0,8,0
18/01/2011,20.33333333,0,8.333333333,0,0,12,0
19/01/2011,32.34576851,0,27.34576851,0,0,5,0
20/01/2011,17,0,0,0,0,17,0
21/01/2011,14.33333333,0,8.333333333,0,0,6,0
22/01/2011,0,0,0,0,0,0,0
23/01/2011,0,0,0,0,0,0,0
24/01/2011,10,0,2,3,0,5,0
25/01/2011,20,0,0,2,0,18,0
26/01/2011,0,0,0,0,0,0,0
27/01/2011,28,0,9,1,0,18,0
28/01/2011,40,4,0,4,0,32,0
29/01/2011,12,0,0,0,0,12,0
30/01/2011,0,0,0,0,0,0,0
31/01/2011,17,1,2,0,0,14,0
1/02/2011,22,1,1,4,0,16,0
2/02/2011,14,0,6,0,0,8,0
3/02/2011,15.83644213,2,8.836442128,0,0,5,0
4/02/2011,23,1,5,1,0,16,0
5/02/2011,4,0,2,0,0,2,0
6/02/2011,0,0,0,0,0,0,0
7/02/2011,55.16511111,8,19.16511111,0,0,21,7
8/02/2011,31,0,13,0,0,18,0
9/02/2011,48.43115556,7,18.43115556,0,0,23,0
10/02/2011,15.26604444,1,5.266044444,0,0,7,2
